,발표일,마감 기준,주당순이익,/ 예측,매출,/ 예측.1
0,2022년 05월 04일,03/2022,--,/ 2.24,--,/ 18.13B
1,2022년 01월 26일,12/2021,2.54,/ 2.36,17.72B,/ 17.13B
2,2021년 10월 20일,09/2021,1.86,/ 1.62,13.76B,/ 14B
3,2021년 07월 26일,06/2021,1.45,/ 0.9417,11.96B,/ 11.51B
4,2021년 04월 26일,03/2021,0.93,/ 0.7651,10.39B,/ 10.48B
5,2021년 01월 27일,12/2020,0.8,/ 1.02,10.74B,/ 10.74B
6,2020년 10월 21일,09/2020,0.76,/ 0.59,8.77B,"/ 8,435M"
7,2020년 07월 22일,06/2020,0.44,/ 0.00,6.04B,/ 6.04B
8,2020년 04월 29일,03/2020,0.25,/ -0.28,5.99B,/ 6.11B
9,2020년 01월 29일,12/2019,2.14,/ 0.34,7.38B,"/ 7,020M"
10,2019년 10월 23일,09/2019,0.37,/ -0.46,6.3B,/ 6.43B
11,2019년 07월 24일,06/2019,-0.22,/ -0.35,6.35B,/ 6.47B
12,2019년 04월 24일,03/2019,-0.58,/ -1.12,4.54B,/ 5.45B
13,2019년 01월 30일,12/2018,0.39,/ 2.2,7.23B,/ 7.12B
14,2018년 10월 24일,09/2018,2.9,/ -0.03,6.82B,/ 6.05B
15,2018년 08월 01일,06/2018,-0.61,/ -2.88,4B,/ 3.99B
16,2018년 05월 02일,03/2018,-3.35,/ -3.53,3.41B,/ 3.27B
17,2018년 02월 07일,12/2017,-0.61,/ -0.62,3.29B,"/ 3,280M"
18,2017년 11월 01일,09/2017,-0.58,/ -0.46,2.98B,"/ 2,948M"
19,2017년 08월 02일,06/2017,-0.27,/ -0.36,2.79B,"/ 2,513M"
20,2017년 05월 04일,03/2017,-0.27,/ -0.16,2.7B,"/ 2,615M"
21,2017년 02월 23일,12/2016,-0.14,/ -0.09,2.28B,"/ 2,169M"
22,2016년 10월 26일,09/2016,0.142,/ -0.12,2.3B,"/ 2,005M"
23,2016년 08월 03일,06/2016,0.71,/ -0.10,1.27B,"/ 1,630M"
24,2016년 05월 04일,03/2016,-1.06,/ -0.12,1.15B,"/ 1,597M"
25,2016년 02월 10일,12/2015,-0.57,/ 0.02,1.21B,"/ 1,792M"
26,2015년 11월 03일,09/2015,-0.87,/ -0.10,936.8M,"/ 1,261M"
27,2015년 08월 05일,06/2015,-0.48,/ -0.12,955.0M,"/ 1,176M"
28,2015년 05월 06일,03/2015,-0.36,/ -0.10,939.9M,"/ 1,043M"
29,2015년 02월 11일,12/2014,-0.13,/ 0.06,956.7M,"/ 1,225M"
30,2014년 11월 05일,09/2014,0.02,/ -0.00,851.8M,/ 889.28M
31,2014년 07월 31일,06/2014,0.11,/ 0.01,1.39B,/ 810.61M
32,2014년 05월 07일,03/2014,0.12,/ 0.02,--,/ 699.09M
33,2014년 02월 19일,12/2013,0.33,/ 0.21,--,/ 686.25M
34,2013년 11월 05일,09/2013,0.12,/ 0.11,--,/ 534.64M
