분기,자동차 생산량, 자동차 배달량, 총 이익, 당기 순이익, 주주에게 귀속되는 순이익 
2018-3,80142,83775,6824M,254M,null
2018-4,86555,90966,7226M,210M,140M
2019-1,77138,63019,4541M,-668M,-702M
2019-2,87048,95356,6350M,-389M,-408M
2019-3,96155,97186,6303M,150M,143M
2019-4,104891,112095,7384M,132M,105M
2020-1,102672,88496,5985M,68M,16M
2020-2,82272,90891,6036M,129M,104M
2020-3,145036,139593,8771M,369M,331M
2020-4,179757,180667,10744M,296M,270M
2021-1,180338,184877,10389M,464M,438M
2021-2,206421,201304,11958M,1178M,1142M
2021-3,237823,241391,13757M,1659M,1618M
2021-4,305840,308650,17719M,2343M,2321M
